GameState,PossibleArrows,WinProb,TieProb
95995746721792,1;6;14;15;41;47;,0.5,0.5
95998967947264,1;7;11;15;41;43;,0.5,0.5
95993599242240,2;7;10;14;46;47;,0,1
95994672984064,1;7;14;15;41;46;,0,1
95998967951360,1;2;10;15;41;47;,0.5,0.5
95993599258624,2;6;10;11;43;46;,0.5,0.5
95994673000448,1;6;11;14;41;43;,0.5,0.5
95995746742272,1;2;10;14;41;46;,1,0
95994673008640,6;7;11;14;35;39;,1,0
95995746750464,2;6;14;15;34;39;,1,0
95998967975936,2;7;11;15;34;35;,1,0
95993599275008,6;7;10;14;34;39;,0.5,0.5
95994673016832,1;6;14;15;33;39;,0.5,0.5
95998967984128,1;7;10;15;33;34;,0.5,0.5
95993599287296,2;7;10;11;35;39;,0,1
95994673029120,1;7;11;15;33;35;,0.5,0.5
95995746770944,1;2;10;15;33;39;,1,0
95993599291392,2;6;11;14;34;35;,0,1
95995746775040,1;6;10;14;33;34;,0.5,0.5
95998968000512,1;2;10;11;33;35;,1,0
